source,target,net_flow,net_flow_2014,net_flow_2015,net_flow_2016,net_flow_2017,net_flow_2018,net_flow_2019,net_flow_2020,net_flow_2021
left,right,1.0,0.004350725851226873,0.9065848702828064,1.0,0.2285463638308913,0.26407308928085954,0.22311552940329538,0.2681518761883688,1.0
left,centre,0.10921050042695565,1.0,0.657952880572786,0.4916119145137365,0.6953200870238374,1.0,0.027330237953741406,0.4194543030108112,0.36090132229222127
right,centre,0.21105581127264475,0.07168659707501855,1.0,0.2866563086150497,1.0,0.7081189045297519,1.0,1.0,0.01980436167326438
